architecture,query,kind,answerable,abstained,should_abstain,abstain_reason,n_cited,cited_ids,citation_valid,citation_correct,groundedness,answered_correctly,answer,degraded,warnings
no abstention gate,How is type 2 diabetes diagnosed?,direct,True,False,False,,1,DM01,True,True,0.9545454545454546,True,"Type 2 diabetes is diagnosed with a fasting plasma glucose of 126 mg/dL or higher, an HbA1c of 6.5 percent or higher, or a two-hour value of 200 mg/dL or higher on an oral glucose tolerance test, each confirmed on a second occasion. [DM01]",False,
no abstention gate,How can the public recognize the symptoms of a stroke?,direct,True,False,False,,1,ST01,True,True,0.9615384615384616,True,"The FAST mnemonic helps the public recognize stroke: Face drooping, Arm weakness, Speech difficulty, and Time to call emergency services immediately. Noting the time symptoms began determines which treatments remain available. [ST01]",False,
no abstention gate,Who should receive an annual influenza vaccine?,direct,True,False,False,,1,VX02,True,True,0.9523809523809523,True,"Annual influenza vaccination is recommended for everyone aged six months and older, ideally before influenza begins circulating locally, with rare exceptions based on a specific medical contraindication. [VX02]",False,
no abstention gate,How is chronic kidney disease staged?,direct,True,False,False,,1,KD01,True,True,0.9523809523809523,True,"Chronic kidney disease is staged by estimated glomerular filtration rate from G1 to G5 and separately by albuminuria category A1 to A3. Both axes together determine monitoring frequency and referral, not eGFR alone. [KD01]",False,
no abstention gate,What screening questionnaire is used for depression in primary care?,direct,True,False,False,,1,MH01,True,True,0.96,True,"The PHQ-9 is a nine-item self-report questionnaire used in primary care to screen for depression and grade its severity, scoring each of the nine DSM criteria from zero to three over the past two weeks. [MH01]",False,
no abstention gate,Should antibiotics be prescribed for an upper respiratory infection?,direct,True,False,False,,1,ID01,True,True,0.9565217391304348,True,"Most upper respiratory infections are viral, so antibiotics neither shorten the illness nor prevent complications and expose the patient to side effects and resistance. Treatment is symptomatic: fluids, rest, and analgesia. [ID01]",False,
no abstention gate,What is the preferred long-term controller medication for persistent asthma?,direct,True,False,False,,1,AS02,True,True,0.96,True,"Inhaled corticosteroids are the preferred long-term controller for persistent asthma. They reduce airway inflammation, symptom burden, and exacerbation frequency, and must be taken daily to be effective rather than only when symptomatic. [AS02]",False,
no abstention gate,What does a lipid panel measure?,direct,True,False,False,,1,CV01,True,True,0.95,True,"A lipid panel reports total cholesterol, LDL cholesterol, HDL cholesterol, and triglycerides. LDL is the primary treatment target, and the panel feeds directly into cardiovascular risk estimation and statin decisions. [CV01]",False,
no abstention gate,Which tool screens for generalized anxiety symptoms?,direct,True,False,False,,1,MH03,True,True,0.9523809523809523,True,"The GAD-7 is a seven-item instrument that screens for and grades the severity of generalized anxiety symptoms over the past two weeks, with cut-points marking mild, moderate, and severe anxiety. [MH03]",False,
no abstention gate,How much aerobic physical activity is recommended for adults each week?,direct,True,False,False,,1,LS02,True,True,0.9545454545454546,True,"Adults are advised to accumulate at least 150 minutes of moderate-intensity aerobic activity per week, or 75 minutes of vigorous activity, and any increase from a sedentary baseline yields the largest relative health gain. [LS02]",False,
no abstention gate,What are the signs of sepsis?,direct,True,False,False,,1,ID09,True,True,0.95,True,"Sepsis is suspected when infection is accompanied by fever or hypothermia, tachycardia, tachypnea, altered mental status, or hypotension, and it requires immediate evaluation because deterioration can be rapid. [ID09]",False,
no abstention gate,How is a severe asthma exacerbation managed?,direct,True,False,False,,1,AS10,True,True,0.9629629629629629,True,"A severe asthma exacerbation is treated with repeated short-acting bronchodilator dosing, systemic corticosteroids for five to seven days, and controlled oxygen. Inability to speak in full sentences or a silent chest indicates life-threatening obstruction. [AS10]",False,
no abstention gate,What is the recommended time window for intravenous thrombolysis in ischemic stroke?,direct,True,False,False,,1,ST02,True,True,0.96,True,"Intravenous thrombolysis for ischemic stroke is given within 4.5 hours of symptom onset after imaging excludes hemorrhage, and the benefit shrinks with every minute of delay, which is why stroke is treated as a time-critical emergency. [ST02]",False,
no abstention gate,What is the first-line medication for type 2 diabetes?,direct,True,False,False,,1,DM04,True,True,0.9545454545454546,True,"First-line pharmacologic therapy for most adults with type 2 diabetes is metformin, started alongside lifestyle changes such as dietary modification, weight management, and increased physical activity. [DM04]",False,
no abstention gate,How frequently are prenatal visits scheduled in a low-risk pregnancy?,direct,True,False,False,,1,PG01,True,True,0.9375,True,"Routine prenatal visits in a low-risk pregnancy occur about every four weeks until 28 weeks, every two weeks from 28 to 36 weeks, and weekly from 36 weeks until delivery. [PG01]",False,
no abstention gate,I got terrible watery diarrhea a couple of weeks after taking antibiotics.,paraphrase,True,False,False,,1,ID12,True,True,0.9583333333333334,True,"Clostridioides difficile infection causes watery diarrhea, cramping, and fever days to weeks after antibiotic exposure disrupts the gut flora. It is diagnosed by stool testing and treated with oral vancomycin or fidaxomicin. [ID12]",False,
