architecture,query,kind,retrieval_k,context_k,n_relevant,top1_id,top_score,context_recall,context_primary_hit,recall@1,precision@1,ndcg@1,hit@1,primary_hit@1,recall@3,precision@3,ndcg@3,hit@3,primary_hit@3,recall@5,precision@5,ndcg@5,hit@5,primary_hit@5,recall@10,precision@10,ndcg@10,hit@10,primary_hit@10,mrr@10
A. Lexical retrieval (BM25 only),How is type 2 diabetes diagnosed?,direct,20,5,2,DM03,10.532184600830078,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.52129602861432,1.0,1.0,0.5,0.2,0.52129602861432,1.0,1.0,0.5,0.1,0.52129602861432,1.0,1.0,0.5
A. Lexical retrieval (BM25 only),What is the first-line medication for type 2 diabetes?,direct,20,5,2,DM04,16.16897201538086,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How often should an adult with diabetes have a retinal exam?,direct,20,5,1,DM11,15.54528522491455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What blood pressure range counts as stage 1 hypertension?,direct,20,5,2,HT01,14.822702407836914,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9639404333166532,1.0,1.0,1.0,0.4,0.9639404333166532,1.0,1.0,1.0,0.2,0.9639404333166532,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which drug classes are used first-line for high blood pressure?,direct,20,5,5,CV02,10.559059143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.239828390216166,1.0,1.0,0.16666666666666666
A. Lexical retrieval (BM25 only),What is the preferred long-term controller medication for persistent asthma?,direct,20,5,2,AS02,21.297189712524414,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How does an asthma action plan work?,direct,20,5,2,AS07,10.512630462646484,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Should antibiotics be prescribed for an upper respiratory infection?,direct,20,5,1,ID01,11.552371978759766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How is uncomplicated cystitis treated in healthy women?,direct,20,5,1,ID05,20.43475341796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What are the signs of sepsis?,direct,20,5,2,ID10,7.408731460571289,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333,0.27541155237618664,1.0,0.0,1.0,0.4,0.631251450669265,1.0,1.0,1.0,0.2,0.631251450669265,1.0,1.0,1.0
